"","county_name","party","year","candidate","candidatevotes","totalvotes","percent"
"892","JUDITH BASIN","REPUBLICAN",2020,"DONALD J TRUMP",1040,1344,77.3809523809524
"893","JUNEAU","REPUBLICAN",2020,"DONALD J TRUMP",8749,13709,63.8193887227369
"894","JUNIATA","REPUBLICAN",2020,"DONALD J TRUMP",9649,12043,80.1212322511002
"895","KALAMAZOO","DEMOCRAT",2008,"BARACK OBAMA",77051,130781,58.9160504966318
"896","KALKASKA","REPUBLICAN",2020,"DONALD J TRUMP",7436,10631,69.9463832188882
"897","KANABEC","REPUBLICAN",2020,"DONALD J TRUMP",6278,9242,67.9290196927072
"898","KANAWHA","REPUBLICAN",2016,"DONALD TRUMP",43850,75690,57.933676839741
"899","KANDIYOHI","REPUBLICAN",2020,"DONALD J TRUMP",14437,23367,61.783712072581
"900","KANE","REPUBLICAN",2004,"GEORGE W. BUSH",96773,174766,55.3728986187245
"901","KANKAKEE","REPUBLICAN",2020,"DONALD J TRUMP",28532,49902,57.1760650875716
"902","KANSAS CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",107660,136645,78.7881005525266
"903","KARNES","REPUBLICAN",2020,"DONALD J TRUMP",3968,5252,75.5521706016756
"904","KAUAI","DEMOCRAT",2008,"BARACK OBAMA",20416,27224,74.9926535409932
"905","KAUFMAN","REPUBLICAN",2016,"DONALD TRUMP",29587,41265,71.699987883194
"906","KAY","REPUBLICAN",2016,"DONALD TRUMP",12172,16803,72.4394453371422
"907","KEARNEY","REPUBLICAN",2020,"DONALD J TRUMP",2822,3604,78.3018867924528
"908","KEARNY","REPUBLICAN",2016,"DONALD TRUMP",1075,1316,81.6869300911854
"909","KEITH","REPUBLICAN",2020,"DONALD J TRUMP",3544,4364,81.2098991750687
"910","KEMPER","DEMOCRAT",2012,"BARACK OBAMA",3239,5052,64.1132224861441
"911","KENDALL","REPUBLICAN",2004,"GEORGE W. BUSH",31208,46474,67.1515255841976
"912","KENEDY","REPUBLICAN",2020,"DONALD J TRUMP",127,194,65.4639175257732
"913","KENNEBEC","DEMOCRAT",2008,"BARACK OBAMA",37238,65986,56.4331827963507
"914","KENOSHA","DEMOCRAT",2008,"BARACK OBAMA",45836,78789,58.1756336544441
"915","KENT","REPUBLICAN",2004,"GEORGE W. BUSH",241760,434517,55.6387897366501
"916","KENTON","REPUBLICAN",2004,"GEORGE W. BUSH",43664,67123,65.0507277684251
"917","KEOKUK","REPUBLICAN",2016,"DONALD TRUMP",3390,4985,68.0040120361083
"918","KERN","REPUBLICAN",2004,"GEORGE W. BUSH",140417,210858,66.5931574803896
"919","KERR","REPUBLICAN",2012,"MITT ROMNEY",17274,21879,78.9524201288907
"920","KERSHAW","REPUBLICAN",2004,"GEORGE W. BUSH",14160,22915,61.7935849879991
"921","KEWAUNEE","REPUBLICAN",2020,"DONALD J TRUMP",7927,12095,65.5394791236048
"922","KEWEENAW","REPUBLICAN",2016,"DONALD TRUMP",814,1434,56.7642956764296
"923","KEYA PAHA","REPUBLICAN",2016,"DONALD TRUMP",460,479,96.0334029227557
"924","KIDDER","REPUBLICAN",2020,"DONALD J TRUMP",1215,1460,83.2191780821918
"925","KIMBALL","REPUBLICAN",2020,"DONALD J TRUMP",1563,1874,83.4044823906083
"926","KIMBLE","REPUBLICAN",2012,"MITT ROMNEY",1667,1892,88.107822410148
"927","KING","DEMOCRAT",2020,"JOSEPH R BIDEN JR",907318,1210666,74.9437086694431
"928","KING AND QUEEN","REPUBLICAN",2016,"DONALD TRUMP",2099,3697,56.7757641330809
"929","KING GEORGE","REPUBLICAN",2004,"GEORGE W. BUSH",5124,7921,64.6888019189496
"930","KING WILLIAM","REPUBLICAN",2016,"DONALD TRUMP",5975,9161,65.2221373212531
"931","KINGFISHER","REPUBLICAN",2004,"GEORGE W. BUSH",5630,6652,84.6361996392063
"932","KINGMAN","REPUBLICAN",2020,"DONALD J TRUMP",3130,3949,79.260572296784
"933","KINGS","DEMOCRAT",2000,"AL GORE",508509,645440,78.7848599405057
"934","KINGSBURY","REPUBLICAN",2020,"DONALD J TRUMP",1904,2779,68.5138539042821
"935","KINNEY","REPUBLICAN",2020,"DONALD J TRUMP",1144,1603,71.3661883967561
"936","KIOWA","REPUBLICAN",2016,"DONALD TRUMP",4224,5427,77.8330569375346
"937","KIT CARSON","REPUBLICAN",2020,"DONALD J TRUMP",3144,3871,81.2193231723069
"938","KITSAP","DEMOCRAT",2020,"JOSEPH R BIDEN JR",90277,158672,56.8953564586064
